episode,return,length,best_return,total_steps,elapsed_sec
1,283.64,13787,283.64,13787,102.0
2,21.26,2018,283.64,15805,116.9
3,264.60,12410,283.64,28215,244.4
4,166.04,7572,283.64,35787,365.6
5,215.00,9525,283.64,45312,517.8
6,154.62,7156,283.64,52468,631.8
7,159.68,7320,283.64,59788,749.6
8,68.52,3701,283.64,63489,809.3
9,137.70,6465,283.64,69954,912.8
10,178.13,8082,283.64,78036,1042.6
11,161.58,7419,283.64,85455,1161.1
12,126.36,5984,283.64,91439,1257.4
13,151.12,6976,283.64,98415,1370.5
14,154.75,7323,283.64,105738,1472.5
15,151.26,6988,283.64,112726,1585.4
16,145.97,6794,283.64,119520,1694.2
17,171.54,7772,283.64,127292,1819.4
18,149.47,6909,283.64,134201,1929.9
19,225.70,10455,283.64,144656,2058.0
20,179.42,8556,283.64,153212,2158.5
21,213.96,9818,283.64,163030,2290.1
22,32.26,2438,283.64,165468,2310.5
23,234.89,10540,283.64,176008,2461.5
24,262.12,12631,283.64,188639,2566.7
25,306.08,14659,306.08,203298,2683.8
26,258.17,12444,306.08,215742,2790.2
27,280.78,13554,306.08,229296,2895.6
28,305.01,14671,306.08,243967,3010.1
29,337.00,16130,337.00,260097,3133.5
30,372.44,17512,372.44,277609,3279.1
31,261.84,12597,372.44,290206,3388.4
32,203.82,10086,372.44,300292,3473.1
33,194.94,9252,372.44,309544,3579.3
34,324.68,15504,372.44,325048,3701.2
35,411.24,19442,411.24,344490,3849.1
36,250.60,12125,411.24,356615,3953.4
37,288.62,13866,411.24,370481,4065.7
38,286.28,13414,411.24,383895,4200.4
39,274.40,13170,411.24,397065,4311.4
40,260.72,12536,411.24,409601,4421.0
41,253.96,12288,411.24,421889,4525.0
42,311.78,14934,411.24,436823,4644.6
43,285.64,13792,411.24,450615,4753.1
44,258.87,12234,411.24,462849,4873.3
45,156.30,7160,411.24,470009,4989.3
46,154.48,7149,411.24,477158,5103.9
47,212.78,9429,411.24,486587,5255.4
48,138.98,6529,411.24,493116,5359.7
49,158.18,7269,411.24,500385,5476.6
50,181.06,8173,411.24,508558,5607.6
51,200.21,8966,411.24,517524,5751.0
52,150.28,6949,411.24,524473,5863.1
53,155.14,7247,411.24,531720,5972.8
54,165.88,7559,411.24,539279,6094.8
55,119.80,5740,411.24,545019,6187.6
56,133.74,6282,411.24,551301,6288.5
57,127.80,6065,411.24,557366,6386.1
58,169.14,7727,411.24,565093,6506.4
59,199.72,8926,411.24,574019,6650.6
60,117.76,5653,411.24,579672,6742.1
61,207.88,9254,411.24,588926,6890.1
62,40.68,2554,411.24,591480,6930.9
63,176.08,7994,411.24,599474,7059.3
64,151.62,7016,411.24,606490,7172.3
65,273.64,12007,411.24,618497,7352.8
66,535.27,25054,535.27,643551,7536.6
67,349.72,16751,535.27,660302,7659.6
68,422.51,20011,535.27,680313,7807.0
69,420.14,19887,535.27,700200,7952.6
70,407.09,19310,535.27,719510,8095.0
71,312.12,15051,535.27,734561,8205.4
72,391.95,18628,535.27,753189,8342.3
73,338.92,16286,535.27,769475,8461.9
74,20.32,1976,535.27,771451,8476.5
75,370.86,17688,535.27,789139,8606.9
76,275.61,13451,535.27,802590,8705.3
77,318.00,15330,535.27,817920,8818.5
78,320.18,15444,535.27,833364,8931.5
79,341.82,16386,535.27,849750,9052.1
80,314.84,15167,535.27,864917,9164.1
81,397.71,18916,535.27,883833,9303.0
82,354.12,16966,535.27,900799,9427.3
83,531.96,24898,535.27,925697,9611.3
84,334.46,16073,535.27,941770,9728.7
85,312.84,15087,535.27,956857,9840.1
86,420.58,19899,535.27,976756,9985.8
87,459.26,21678,535.27,998434,10145.3
88,389.10,18515,535.27,1016949,10281.2
89,374.50,17850,535.27,1034799,10412.7
90,369.03,17642,535.27,1052441,10541.8
91,394.59,18745,535.27,1071186,10680.4
92,481.74,22652,535.27,1093838,10846.8
93,366.26,17508,535.27,1111346,10975.2
94,452.80,21345,535.27,1132691,11132.6
95,402.68,19109,535.27,1151800,11272.7
96,344.10,16485,535.27,1168285,11393.8
97,325.74,15647,535.27,1183932,11509.1
98,375.68,17899,535.27,1201831,11640.1
99,286.70,13925,535.27,1215756,11742.6
100,358.72,17141,535.27,1232897,11869.2
101,335.52,16141,535.27,1249038,11987.0
102,306.36,14828,535.27,1263866,12096.5
103,366.27,17514,535.27,1281380,12224.8
104,327.19,15730,535.27,1297110,12340.8
105,12.62,1616,535.27,1298726,12352.9
106,277.90,13555,535.27,1312281,12451.9
107,344.38,16484,535.27,1328765,12573.0
108,366.80,17530,535.27,1346295,12702.1
109,312.58,15079,535.27,1361374,12812.5
110,263.10,12835,535.27,1374209,12907.5
111,285.52,13866,535.27,1388075,13008.8
112,333.72,16046,535.27,1404121,13127.0
113,308.36,14913,535.27,1419034,13236.4
