episode,return,length,best_return,total_steps,elapsed_sec
1,277.48,13534,277.48,13534,99.3
2,43.58,2999,277.48,16533,121.8
3,260.50,12770,277.48,29303,215.3
4,105.12,5761,277.48,35064,257.7
5,324.14,15632,324.14,50696,372.1
6,351.92,16866,351.92,67562,495.8
7,173.80,8845,351.92,76407,561.2
8,349.90,16760,351.92,93167,684.0
9,285.28,13849,351.92,107016,785.9
10,365.68,17494,365.68,124510,914.0
11,341.76,16378,365.68,140888,1034.3
12,315.12,15191,365.68,156079,1146.3
13,336.08,16169,365.68,172248,1265.2
14,282.86,13748,365.68,185996,1365.5
15,261.96,12843,365.68,198839,1460.4
16,314.10,15145,365.68,213984,1571.4
17,257.88,12649,365.68,226633,1664.1
18,129.40,6840,365.68,233473,1714.9
19,303.82,14706,365.68,248179,1822.8
20,122.96,6583,365.68,254762,1871.0
21,296.68,14364,365.68,269126,1976.5
22,33.56,2568,365.68,271694,1995.2
23,181.36,9193,365.68,280887,2063.2
24,15.52,1741,365.68,282628,2076.1
25,290.26,14093,365.68,296721,2178.9
26,76.38,4474,365.68,301195,2212.5
27,403.98,19179,403.98,320374,2352.9
28,116.42,6256,403.98,326630,2398.8
29,434.66,20543,434.66,347173,2549.7
30,287.46,13968,434.66,361141,2652.5
31,309.54,14952,434.66,376093,2762.1
32,222.30,11020,434.66,387113,2843.7
33,193.82,9756,434.66,396869,2914.7
34,235.20,11590,434.66,408459,3000.2
35,288.20,13990,434.66,422449,3103.1
36,264.36,12963,434.66,435412,3198.0
37,27.60,2275,434.66,437687,3214.6
38,297.18,14389,434.66,452076,3320.2
39,289.60,14075,434.66,466151,3423.6
40,289.84,14077,434.66,480228,3527.0
41,288.34,14017,434.66,494245,3630.0
42,276.62,13496,434.66,507741,3728.6
43,180.64,9157,434.66,516898,3796.4
44,170.54,8732,434.66,525630,3860.3
45,304.96,14753,434.66,540383,3968.5
46,333.70,16035,434.66,556418,4086.3
47,206.98,10334,434.66,566752,4162.2
48,87.94,4987,434.66,571739,4199.3
49,271.40,13255,434.66,584994,4296.2
50,299.56,14498,434.66,599492,4402.5
51,269.96,13163,434.66,612655,4499.6
52,257.10,12605,434.66,625260,4592.2
53,161.54,8292,434.66,633552,4653.2
54,285.90,13900,434.66,647452,4755.5
55,341.38,16359,434.66,663811,4875.6
56,366.60,17520,434.66,681331,5003.8
57,128.56,6798,434.66,688129,5054.4
58,196.12,9866,434.66,697995,5126.1
59,61.26,3798,434.66,701793,5154.2
60,228.86,11343,434.66,713136,5237.9
61,105.92,5811,434.66,718947,5280.8
62,17.94,1862,434.66,720809,5293.7
63,119.32,6401,434.66,727210,5341.5
64,111.14,6062,434.66,733272,5386.0
65,286.80,13925,434.66,747197,5487.7
66,293.20,14230,434.66,761427,5592.2
67,24.16,2113,434.66,763540,5607.7
68,124.20,6640,434.66,770180,5657.2
69,319.90,15430,434.66,785610,5770.0
70,162.70,8355,434.66,793965,5831.4
71,115.94,6252,434.66,800217,5877.3
72,41.86,2908,434.66,803125,5899.3
73,109.56,5983,434.66,809108,5943.3
74,50.26,3323,434.66,812431,5967.2
75,93.60,5265,434.66,817696,6006.3
76,137.60,7245,434.66,824941,6059.0
77,163.00,8365,434.66,833306,6120.4
78,295.90,14320,434.66,847626,6225.6
79,104.40,5725,434.66,853351,6267.8
80,109.76,5998,434.66,859349,6312.0
81,245.56,12103,434.66,871452,6401.0
82,140.52,7381,434.66,878833,6455.5
83,148.70,7730,434.66,886563,6511.7
84,264.36,12898,434.66,899461,6607.0
85,86.66,4933,434.66,904394,6642.9
86,36.76,2718,434.66,907112,6662.5
87,112.42,6121,434.66,913233,6707.4
88,16.90,1810,434.66,915043,6720.9
