episode,return,length,best_return,total_steps,elapsed_sec
1,103.82,5111,103.82,5111,81.0
2,49.22,2906,103.82,8017,127.2
3,138.48,6489,138.48,14506,231.9
4,90.70,4590,138.48,19096,305.5
5,118.00,5665,138.48,24761,397.1
6,51.58,3004,138.48,27765,444.6
7,81.26,4198,138.48,31963,512.0
8,73.96,3893,138.48,35856,574.8
9,104.50,5105,138.48,40961,657.8
10,47.78,2829,138.48,43790,702.9
11,122.46,5863,138.48,49653,797.5
12,45.48,2769,138.48,52422,841.9
13,-2.74,828,138.48,53250,856.2
14,135.50,6360,138.48,59610,958.8
15,31.70,2190,138.48,61800,994.1
16,88.50,4475,138.48,66275,1065.7
17,67.18,3644,138.48,69919,1124.6
18,124.74,5907,138.48,75826,1219.9
19,2.40,1025,138.48,76851,1235.8
20,149.12,6886,149.12,83737,1346.3
21,123.76,5918,149.12,89655,1441.1
22,104.32,5131,149.12,94786,1524.5
23,-0.32,944,149.12,95730,1539.2
24,123.36,5883,149.12,101613,1633.9
25,177.28,8844,177.28,110457,1710.9
26,175.78,8934,177.28,119391,1777.4
27,100.50,5551,177.28,124942,1818.4
28,206.38,10309,206.38,135251,1894.2
29,115.82,6231,206.38,141482,1940.0
30,179.24,9102,206.38,150584,2006.5
31,62.50,3860,206.38,154444,2035.0
32,165.80,8510,206.38,162954,2097.4
33,135.78,7154,206.38,170108,2150.5
34,227.28,11275,227.28,181383,2232.8
35,24.06,2098,227.28,183481,2248.2
36,238.04,11732,238.04,195213,2334.7
37,14.66,1703,238.04,196916,2347.4
38,206.18,10304,238.04,207220,2423.1
39,270.99,13215,270.99,220435,2519.9
40,373.46,17798,373.46,238233,2651.2
41,132.28,6989,373.46,245222,2702.2
42,194.20,9770,373.46,254992,2774.2
43,120.26,6458,373.46,261450,2821.7
44,153.94,7967,373.46,269417,2880.4
45,280.59,13625,373.46,283042,2980.8
46,131.36,6943,373.46,289985,3031.5
47,107.89,5908,373.46,295893,3075.1
48,211.64,10557,373.46,306450,3152.6
49,209.44,10452,373.46,316902,3229.4
50,268.14,13092,373.46,329994,3326.1
51,118.22,6356,373.46,336350,3372.7
52,104.46,5738,373.46,342088,3415.1
53,193.20,9725,373.46,351813,3485.9
54,129.42,6858,373.46,358671,3536.9
55,113.50,6135,373.46,364806,3582.0
56,167.76,8603,373.46,373409,3645.0
57,289.53,14072,373.46,387481,3748.6
58,274.60,13400,373.46,400881,3846.5
59,341.57,16359,373.46,417240,3966.8
60,330.90,15905,373.46,433145,4083.8
61,290.28,14114,373.46,447259,4187.8
62,165.00,8465,373.46,455724,4249.9
63,281.06,13653,373.46,469377,4350.7
64,286.34,13902,373.46,483279,4452.3
65,83.88,4784,373.46,488063,4488.1
66,305.07,14755,373.46,502818,4596.3
67,127.44,6797,373.46,509615,4646.1
68,259.84,12722,373.46,522337,4740.1
69,110.72,6048,373.46,528385,4784.8
70,325.66,15693,373.46,544078,4899.4
71,222.60,11050,373.46,555128,4981.2
72,111.92,6089,373.46,561217,5026.0
73,179.11,9095,373.46,570312,5092.4
74,12.00,1565,373.46,571877,5104.1
75,276.46,13508,373.46,585385,5202.9
76,225.02,11151,373.46,596536,5285.5
77,269.58,13174,373.46,609710,5381.9
78,302.38,14634,373.46,624344,5489.3
79,256.90,12585,373.46,636929,5582.6
80,147.60,7675,373.46,644604,5638.3
81,137.90,7240,373.46,651844,5692.0
82,146.46,7613,373.46,659457,5748.2
83,244.48,12044,373.46,671501,5835.9
84,277.16,13498,373.46,684999,5935.4
85,290.52,14116,373.46,699115,6039.4
86,267.28,13039,373.46,712154,6134.8
87,258.82,12676,373.46,724830,6227.8
88,351.36,16823,373.46,741653,6352.1
89,146.22,7601,373.46,749254,6407.4
90,364.56,17403,373.46,766657,6535.8
91,269.54,13152,373.46,779809,6632.1
92,78.52,4576,373.46,784385,6666.5
93,151.66,7868,373.46,792253,6723.5
94,211.78,10564,373.46,802817,6802.0
95,279.75,13638,373.46,816455,6901.6
96,269.48,13149,373.46,829604,6998.8
97,148.42,7716,373.46,837320,7054.7
98,239.22,11786,373.46,849106,7141.7
99,156.45,8099,373.46,857205,7201.3
100,176.30,8945,373.46,866150,7266.7
101,301.52,14581,373.46,880731,7374.7
102,239.00,11780,373.46,892511,7460.7
103,178.80,9076,373.46,901587,7528.1
104,19.68,1934,373.46,903521,7542.3
105,25.04,2162,373.46,905683,7558.2
106,157.00,8125,373.46,913808,7618.0
107,105.60,5795,373.46,919603,7660.8
108,117.12,6301,373.46,925904,7707.1
109,102.60,5480,373.46,931384,7762.0
110,126.67,6006,373.46,937390,7858.8
111,145.42,6771,373.46,944161,7966.3
112,78.40,4080,373.46,948241,8031.8
113,121.08,5789,373.46,954030,8124.2
114,137.76,6468,373.46,960498,8227.3
115,144.40,6730,373.46,967228,8335.7
116,150.80,6970,373.46,974198,8447.0
117,126.50,5995,373.46,980193,8542.9
118,98.92,4896,373.46,985089,8621.9
119,158.28,7269,373.46,992358,8737.3
120,151.16,6983,373.46,999341,8848.7
121,126.08,5974,373.46,1005315,8944.4
122,106.18,5209,373.46,1010524,9028.2
123,100.18,4969,373.46,1015493,9107.2
124,79.06,4093,373.46,1019586,9172.7
125,89.90,4540,373.46,1024126,9246.2
126,103.48,5084,373.46,1029210,9327.1
127,175.12,8006,373.46,1037216,9450.5
128,86.58,4924,373.46,1042140,9486.9
129,29.22,2341,373.46,1044481,9504.9
130,28.48,2319,373.46,1046800,9521.8
131,269.14,13127,373.46,1059927,9618.0
132,214.16,10663,373.46,1070590,9696.2
133,140.96,7388,373.46,1077978,9750.8
134,308.08,14899,373.46,1092877,9860.3
135,93.48,5254,373.46,1098131,9899.4
136,199.60,9490,373.46,1107621,10006.6
137,120.34,5757,373.46,1113378,10099.6
138,11.48,1389,373.46,1114767,10122.5
139,15.52,1531,373.46,1116298,10147.8
140,58.08,3264,373.46,1119562,10199.7
141,92.38,4649,373.46,1124211,10274.5
142,144.24,6712,373.46,1130923,10383.4
143,116.36,5623,373.46,1136546,10472.5
