episode,return,length,best_return,total_steps,elapsed_sec
1,22.64,2042,22.64,2042,16.3
2,140.66,6548,140.66,8590,122.2
3,208.00,9830,208.00,18420,235.6
4,153.88,7834,208.00,26254,302.8
5,113.34,5477,208.00,31731,391.0
6,-0.86,917,208.00,32648,405.3
7,138.22,6481,208.00,39129,510.2
8,62.04,3447,208.00,42576,564.9
9,3.50,1060,208.00,43636,582.5
10,4.30,1105,208.00,44741,599.8
11,144.80,6730,208.00,51471,708.7
12,173.22,7851,208.00,59322,834.0
13,77.22,4036,208.00,63358,898.9
14,181.04,8172,208.00,71530,1030.2
15,4.66,1118,208.00,72648,1048.6
16,184.22,8331,208.00,80979,1182.2
17,136.22,6396,208.00,87375,1284.6
18,133.86,6293,208.00,93668,1385.2
19,56.70,3200,208.00,96868,1436.8
20,187.70,8420,208.00,105288,1572.2
21,56.64,3207,208.00,108495,1623.2
22,78.72,4081,208.00,112576,1689.0
23,65.24,3537,208.00,116113,1746.2
24,112.36,5458,208.00,121571,1834.1
25,67.96,3663,208.00,125234,1893.4
26,288.52,14011,288.52,139245,1997.7
27,95.20,5340,288.52,144585,2037.2
28,301.55,14598,301.55,159183,2144.2
29,293.76,14263,301.55,173446,2249.1
30,174.70,8885,301.55,182331,2314.9
31,95.50,5360,301.55,187691,2353.8
32,288.08,13984,301.55,201675,2456.8
33,171.14,8767,301.55,210442,2520.9
34,268.80,13115,301.55,223557,2617.9
35,316.94,15282,316.94,238839,2729.7
36,201.70,10135,316.94,248974,2804.2
37,262.88,12889,316.94,261863,2898.6
38,261.26,12803,316.94,274666,2993.3
39,328.36,15788,328.36,290454,3108.7
40,298.92,14466,328.36,304920,3214.8
41,106.18,5824,328.36,310744,3257.7
42,350.84,16822,350.84,327566,3381.1
43,436.64,20637,436.64,348203,3533.5
44,248.72,12246,436.64,360449,3623.5
45,304.18,14744,436.64,375193,3731.6
46,279.70,13640,436.64,388833,3831.1
47,229.84,11382,436.64,400215,3915.1
48,250.56,12283,436.64,412498,4005.3
49,351.86,16858,436.64,429356,4128.9
50,206.24,10292,436.64,439648,4204.6
51,259.02,12701,436.64,452349,4297.6
52,214.42,10686,436.64,463035,4376.9
53,108.76,5958,436.64,468993,4420.8
54,309.38,14979,436.64,483972,4530.6
55,190.44,9597,436.64,493569,4601.4
56,314.86,15198,436.64,508767,4712.7
57,260.72,12771,436.64,521538,4806.3
58,314.30,15155,436.64,536693,4918.2
59,297.68,14409,436.64,551102,5024.1
60,269.00,13130,436.64,564232,5120.2
61,227.24,11257,436.64,575489,5203.3
62,30.56,2418,436.64,577907,5220.9
63,291.36,14138,436.64,592045,5324.9
64,287.86,13973,436.64,606018,5426.9
65,313.04,15102,436.64,621120,5538.3
66,337.60,16235,436.64,637355,5657.7
67,394.64,18782,436.64,656137,5795.6
68,186.50,9460,436.64,665597,5864.5
69,260.20,12760,436.64,678357,5958.9
70,317.24,15287,436.64,693644,6070.9
