episode,return,length,best_return,total_steps,elapsed_sec
1,49.06,2898,49.06,2898,45.5
2,172.72,7816,172.72,10714,171.6
3,80.05,4213,172.72,14927,231.8
4,114.54,5607,172.72,20534,314.3
5,269.96,12118,269.96,32652,475.9
6,241.52,11596,269.96,44248,583.0
7,340.38,15574,340.38,59822,749.1
8,56.30,3185,340.38,63007,799.8
9,207.12,9221,340.38,72228,946.9
10,276.76,13433,340.38,85661,1049.5
11,57.64,3622,340.38,89283,1076.4
12,191.30,9640,340.38,98923,1147.2
13,267.46,13058,340.38,111981,1243.4
14,163.16,7828,340.38,119809,1339.3
15,-4.16,762,340.38,120571,1351.3
16,62.60,3415,340.38,123986,1407.1
17,5.62,1156,340.38,125142,1425.6
18,135.34,6357,340.38,131499,1529.5
19,127.34,6017,340.38,137516,1627.9
20,156.00,7145,340.38,144661,1745.9
21,98.68,4844,340.38,149505,1826.2
22,157.56,7238,340.38,156743,1944.9
23,50.54,2957,340.38,159700,1993.2
24,168.64,7637,340.38,167337,2119.1
25,108.32,5236,340.38,172573,2204.6
26,230.16,10048,340.38,182621,2370.6
27,200.26,8868,340.38,191489,2517.2
28,149.68,6914,340.38,198403,2627.7
29,225.30,9885,340.38,208288,2790.8
30,142.16,6608,340.38,214896,2899.0
31,233.02,10186,340.38,225082,3066.4
32,0.16,913,340.38,225995,3081.6
33,182.14,8187,340.38,234182,3216.4
34,169.24,7677,340.38,241859,3342.3
35,205.48,9139,340.38,250998,3492.1
36,244.48,10669,340.38,261667,3666.9
37,175.18,7899,340.38,269566,3796.9
38,171.02,7746,340.38,277312,3923.8
39,194.50,8680,340.38,285992,4067.4
40,85.98,4354,340.38,290346,4140.1
41,-4.18,761,340.38,291107,4152.8
42,156.74,7192,340.38,298299,4269.3
43,244.38,11974,340.38,310273,4359.6
44,479.56,22528,479.56,332801,4525.5
45,410.41,19456,479.56,352257,4668.8
46,492.40,23140,492.40,375397,4838.7
47,545.82,25511,545.82,400908,5026.4
48,256.42,12076,545.82,412984,5149.9
49,128.83,6102,545.82,419086,5247.1
50,397.27,18659,545.82,437745,5398.0
51,442.09,20880,545.82,458625,5550.3
52,322.05,15508,545.82,474133,5664.2
53,411.74,19532,545.82,493665,5806.8
54,336.69,16180,545.82,509845,5924.6
55,227.55,11273,545.82,521118,6006.9
56,273.07,13309,545.82,534427,6104.3
57,393.69,18705,545.82,553132,6241.1
58,364.89,17430,545.82,570562,6368.5
59,323.42,15606,545.82,586168,6482.3
60,376.40,17920,545.82,604088,6613.1
61,299.87,14504,545.82,618592,6719.5
62,326.24,15717,545.82,634309,6834.1
63,520.32,24371,545.82,658680,7012.2
64,548.22,25601,548.22,684281,7199.2
65,92.86,5223,548.22,689504,7237.6
66,296.39,14350,548.22,703854,7342.7
67,298.12,14421,548.22,718275,7448.0
68,204.36,10253,548.22,728528,7522.9
69,287.32,13941,548.22,742469,7624.9
70,408.80,19390,548.22,761859,7766.5
71,268.92,13106,548.22,774965,7861.9
72,274.92,13396,548.22,788361,7959.8
73,570.95,26658,570.95,815019,8154.5
74,292.89,14215,570.95,829234,8258.4
75,407.41,19331,570.95,848565,8399.7
76,384.02,18296,570.95,866861,8533.5
77,413.64,19622,570.95,886483,8676.8
78,324.07,15614,570.95,902097,8790.8
79,518.54,24287,570.95,926384,8968.4
80,487.49,22925,570.95,949309,9136.0
81,379.05,18058,570.95,967367,9267.6
82,502.65,23588,570.95,990955,9439.9
83,262.45,12863,570.95,1003818,9533.9
84,563.06,26248,570.95,1030066,9725.5
85,361.92,17276,570.95,1047342,9851.6
86,481.53,22602,570.95,1069944,10016.8
87,289.95,14068,570.95,1084012,10119.9
88,419.61,19861,570.95,1103873,10265.3
89,315.17,15204,570.95,1119077,10376.0
90,314.31,15146,570.95,1134223,10486.7
91,373.35,17778,570.95,1152001,10616.8
92,232.37,11504,570.95,1163505,10700.8
93,290.42,14096,570.95,1177601,10802.8
94,151.71,7856,570.95,1185457,10860.1
95,317.08,15279,570.95,1200736,10971.8
96,387.19,18445,570.95,1219181,11106.5
97,395.48,18784,570.95,1237965,11243.4
98,410.23,19472,570.95,1257437,11385.9
99,557.52,25986,570.95,1283423,11579.4
100,389.74,18512,570.95,1301935,11718.5
101,196.92,9881,570.95,1311816,11793.0
102,297.03,14337,570.95,1326153,11900.6
103,466.83,21942,570.95,1348095,12065.0
104,351.92,16781,570.95,1364876,12191.0
105,346.12,16561,570.95,1381437,12316.0
106,259.76,12663,570.95,1394100,12411.0
107,342.30,16385,570.95,1410485,12534.1
108,267.46,13023,570.95,1423508,12632.0
109,575.58,26749,575.58,1450257,12833.3
110,474.87,22289,575.58,1472546,13001.6
111,545.46,25408,575.58,1497954,13192.4
112,325.20,15600,575.58,1513554,13310.4
113,212.27,10569,575.58,1524123,13389.6
114,231.09,11395,575.58,1535518,13475.2
115,404.95,19183,575.58,1554701,13619.1
116,301.48,14569,575.58,1569270,13728.7
117,335.69,16055,575.58,1585325,13849.7
118,554.12,25836,575.58,1611161,14044.1
119,471.79,22120,575.58,1633281,14210.4
120,365.96,17408,575.58,1650689,14341.6
121,283.42,13746,575.58,1664435,14444.8
122,286.54,13902,575.58,1678337,14549.5
123,363.60,17360,575.58,1695697,14679.5
124,405.05,19188,575.58,1714885,14824.3
125,234.88,11579,575.58,1726464,14911.5
126,388.66,18433,575.58,1744897,15050.5
127,373.12,17771,575.58,1762668,15183.6
128,306.07,14729,575.58,1777397,15294.1
129,334.21,15986,575.58,1793383,15414.7
130,311.83,15002,575.58,1808385,15527.6
131,212.70,10595,575.58,1818980,15607.0
132,159.40,8185,575.58,1827165,15668.4
133,350.98,16729,575.58,1843894,15794.2
134,657.79,30405,657.79,1874299,16023.4
135,265.32,12926,657.79,1887225,16120.3
136,388.54,18442,657.79,1905667,16259.1
137,404.90,19200,657.79,1924867,16403.1
138,374.59,17815,657.79,1942682,16537.1
139,305.08,14689,657.79,1957371,16647.4
140,423.08,19949,657.79,1977320,16797.4
141,377.58,17919,657.79,1995239,16932.6
142,26.68,2234,657.79,1997473,16949.3
