episode,return,length,best_return,total_steps,elapsed_sec
1,196.46,9878,196.46,9878,72.1
2,301.64,14587,301.64,24465,179.1
3,385.82,18371,385.82,42836,313.8
4,319.00,15385,385.82,58221,426.9
5,298.62,14451,385.82,72672,532.8
6,260.06,12728,385.82,85400,625.9
7,40.38,2834,385.82,88234,647.3
8,184.80,9360,385.82,97594,715.5
9,285.82,13881,385.82,111475,817.5
10,262.32,12836,385.82,124311,911.5
11,189.60,9550,385.82,133861,981.9
12,115.58,6234,385.82,140095,1027.7
13,226.74,11257,385.82,151352,1109.8
14,277.64,13542,385.82,164894,1209.2
15,221.36,10988,385.82,175882,1289.6
16,156.48,8109,385.82,183991,1349.2
17,19.20,1925,385.82,185916,1363.4
18,19.54,1937,385.82,187853,1377.7
19,156.24,8082,385.82,195935,1437.1
20,311.20,15010,385.82,210945,1547.7
21,254.66,12473,385.82,223418,1639.2
22,153.90,7985,385.82,231403,1697.0
23,155.50,8050,385.82,239453,1756.2
24,176.76,8978,385.82,248431,1822.7
25,244.40,12030,385.82,260461,1910.8
26,135.92,7156,385.82,267617,1962.9
27,128.34,6817,385.82,274434,2013.5
28,131.32,6946,385.82,281380,2064.1
29,269.08,13119,385.82,294499,2159.9
30,121.08,6484,385.82,300983,2207.4
31,252.43,12362,385.82,313345,2298.9
32,197.28,9919,385.82,323264,2370.9
33,227.00,11255,385.82,334519,2453.9
34,160.02,8211,385.82,342730,2514.1
35,143.68,7479,385.82,350209,2569.3
36,197.84,9942,385.82,360151,2641.6
37,170.52,8651,385.82,368802,2710.2
38,94.26,5298,385.82,374100,2748.6
39,222.90,11050,385.82,385150,2830.3
40,284.04,13802,385.82,398952,2930.8
41,19.64,1942,385.82,400894,2945.2
42,266.64,12997,385.82,413891,3041.4
43,299.24,14487,385.82,428378,3147.6
44,309.06,14953,385.82,443331,3257.2
45,238.20,11740,385.82,455071,3343.5
46,196.10,9865,385.82,464936,3416.0
47,76.62,4496,385.82,469432,3448.8
48,56.40,3565,385.82,472997,3474.4
49,146.36,7598,385.82,480595,3530.3
50,269.66,13153,385.82,493748,3627.4
51,156.34,8092,385.82,501840,3686.7
52,42.32,2946,385.82,504786,3707.9
53,167.90,8600,385.82,513386,3770.8
54,220.34,10932,385.82,524318,3851.7
55,206.99,10330,385.82,534648,3927.3
56,168.76,8653,385.82,543301,3990.7
57,118.36,6383,385.82,549684,4037.4
58,140.56,7373,385.82,557057,4091.6
59,82.24,4757,385.82,561814,4126.3
60,235.94,11627,385.82,573441,4211.9
61,267.28,13034,385.82,586475,4307.3
62,141.82,7446,385.82,593921,4362.1
63,81.92,4746,385.82,598667,4396.7
64,99.38,5494,385.82,604161,4437.3
65,45.96,3123,385.82,607284,4459.7
66,18.60,1890,385.82,609174,4473.7
67,106.20,5825,385.82,614999,4516.6
68,182.86,9268,385.82,624267,4584.0
69,385.84,18392,385.84,642659,4718.8
70,122.08,6549,385.84,649208,4766.7
71,67.10,4080,385.84,653288,4796.7
72,237.21,11682,385.84,664970,4882.6
73,115.76,6233,385.84,671203,4928.4
74,72.70,4295,385.84,675498,4959.8
75,166.50,8535,385.84,684033,5023.2
76,163.74,8397,385.84,692430,5084.7
77,127.24,6782,385.84,699212,5134.1
78,261.76,12823,385.84,712035,5227.8
79,265.46,12958,385.84,724993,5323.3
80,47.90,3200,385.84,728193,5346.2
81,202.84,10182,385.84,738375,5421.0
82,106.56,5833,385.84,744208,5463.9
83,79.12,4611,385.84,748819,5497.6
84,146.02,7596,385.84,756415,5553.5
85,150.84,7832,385.84,764247,5611.1
86,168.76,8658,385.84,772905,5674.2
87,9.48,1454,385.84,774359,5685.2
88,208.06,10393,385.84,784752,5761.4
89,121.54,6512,385.84,791264,5809.1
90,79.54,4632,385.84,795896,5842.8
91,176.50,8970,385.84,804866,5909.1
92,361.06,17249,385.84,822115,6035.1
93,257.64,12627,385.84,834742,6127.5
94,141.48,7424,385.84,842166,6182.3
95,289.40,14065,385.84,856231,6285.4
96,228.30,11325,385.84,867556,6368.0
97,122.42,6561,385.84,874117,6415.9
98,121.54,6512,385.84,880629,6463.4
99,159.98,8204,385.84,888833,6524.3
100,35.16,2643,385.84,891476,6543.5
101,13.02,1621,385.84,893097,6555.6
102,172.02,8811,385.84,901908,6619.9
103,109.76,6003,385.84,907911,6664.0
104,149.86,7778,385.84,915689,6721.3
105,277.94,13557,385.84,929246,6820.1
106,34.50,2595,385.84,931841,6839.8
107,61.36,3808,385.84,935649,6867.0
108,241.94,11932,385.84,947581,6954.7
109,75.66,4438,385.84,952019,6987.1
110,291.90,14175,385.84,966194,7091.1
111,281.12,13651,385.84,979845,7191.7
112,240.22,11841,385.84,991686,7278.6
113,297.62,14395,385.84,1006081,7384.0
114,11.18,1534,385.84,1007615,7394.6
115,206.88,10319,385.84,1017934,7471.1
116,179.86,9133,385.84,1027067,7537.7
117,296.02,14331,385.84,1041398,7642.9
118,87.42,4966,385.84,1046364,7679.0
119,264.26,12893,385.84,1059257,7774.1
120,138.96,7313,385.84,1066570,7827.3
121,122.09,6535,385.84,1073105,7875.0
122,113.88,6139,385.84,1079244,7920.2
123,268.44,13097,385.84,1092341,8016.7
124,130.00,6875,385.84,1099216,8066.8
125,194.66,9798,385.84,1109014,8138.8
126,274.58,13384,385.84,1122398,8237.3
127,225.56,11188,385.84,1133586,8319.0
128,60.76,3773,385.84,1137359,8346.9
129,185.44,9402,385.84,1146761,8415.4
130,120.96,6483,385.84,1153244,8463.8
131,289.96,14078,385.84,1167322,8566.2
132,107.84,5897,385.84,1173219,8609.7
133,103.52,5691,385.84,1178910,8651.6
134,282.24,13732,385.84,1192642,8752.5
135,153.20,7940,385.84,1200582,8810.9
136,153.98,7984,385.84,1208566,8869.5
137,63.14,3887,385.84,1212453,8898.1
138,234.92,11631,385.84,1224084,8982.9
139,269.24,13132,385.84,1237216,9079.7
140,264.18,12939,385.84,1250155,9174.3
141,80.10,4655,385.84,1254810,9208.2
142,77.92,4551,385.84,1259361,9241.4
143,15.74,1757,385.84,1261118,9254.5
144,43.74,3007,385.84,1264125,9277.0
145,111.30,6085,385.84,1270210,9321.7
146,135.76,7138,385.84,1277348,9373.7
147,182.80,9270,385.84,1286618,9442.1
148,157.10,8120,385.84,1294738,9501.7
149,13.74,1647,385.84,1296385,9514.0
150,94.72,5316,385.84,1301701,9552.5
151,287.36,13968,385.84,1315669,9655.2
152,101.12,5581,385.84,1321250,9696.5
153,207.62,10381,385.84,1331631,9772.4
154,12.96,1618,385.84,1333249,9784.5
155,110.08,6014,385.84,1339263,9827.8
156,105.52,5791,385.84,1345054,9870.6
157,16.42,1791,385.84,1346845,9883.8
158,216.84,10807,385.84,1357652,9962.8
159,105.54,5787,385.84,1363439,10005.4
160,124.08,6629,385.84,1370068,10053.7
161,272.86,13313,385.84,1383381,10151.6
162,160.10,8230,385.84,1391611,10211.8
163,202.12,10156,385.84,1401767,10286.3
164,349.74,16762,385.84,1418529,10409.1
165,122.94,6572,385.84,1425101,10457.1
166,48.02,3201,385.84,1428302,10480.9
167,11.36,1538,385.84,1429840,10492.4
168,88.30,5005,385.84,1434845,10528.7
169,100.88,5559,385.84,1440404,10569.7
170,95.98,5374,385.84,1445778,10608.7
171,170.94,8757,385.84,1454535,10673.5
172,165.44,8477,385.84,1463012,10735.5
173,283.56,13778,385.84,1476790,10836.7
174,231.22,11461,385.84,1488251,10920.2
175,105.18,5774,385.84,1494025,10962.7
176,90.74,5112,385.84,1499137,11000.6
177,102.92,5666,385.84,1504803,11041.4
178,78.74,4592,385.84,1509395,11075.8
179,158.08,8174,385.84,1517569,11135.7
180,112.88,6144,385.84,1523713,11180.8
181,72.88,4319,385.84,1528032,11212.4
182,79.46,4623,385.84,1532655,11246.1
183,126.28,6749,385.84,1539404,11295.3
184,117.48,6309,385.84,1545713,11341.4
185,114.42,6161,385.84,1551874,11386.7
186,20.46,1983,385.84,1553857,11401.3
187,173.48,8809,385.84,1562666,11466.6
188,89.34,5062,385.84,1567728,11503.2
189,87.66,4968,385.84,1572696,11539.3
190,203.68,10229,385.84,1582925,11614.2
191,293.90,14265,385.84,1597190,11718.7
192,173.82,8831,385.84,1606021,11784.2
193,119.18,6409,385.84,1612430,11831.1
194,139.88,7354,385.84,1619784,11884.5
195,175.32,8921,385.84,1628705,11950.4
196,255.40,12525,385.84,1641230,12042.1
197,130.98,6924,385.84,1648154,12092.5
198,273.64,13342,385.84,1661496,12190.8
199,205.12,10261,385.84,1671757,12266.1
200,53.52,3471,385.84,1675228,12291.0
201,226.16,11213,385.84,1686441,12373.6
202,162.86,8348,385.84,1694789,12434.7
203,148.62,7711,385.84,1702500,12491.6
204,192.58,9689,385.84,1712189,12562.9
205,185.12,9381,385.84,1721570,12631.1
206,228.90,11335,385.84,1732905,12714.6
207,160.58,8254,385.84,1741159,12775.2
208,333.42,16026,385.84,1757185,12892.8
209,247.38,12189,385.84,1769374,12981.4
210,302.66,14648,385.84,1784022,13089.5
211,316.44,15262,385.84,1799284,13201.0
212,243.24,11982,385.84,1811266,13289.1
213,185.64,9407,385.84,1820673,13358.3
214,43.84,3007,385.84,1823680,13379.9
215,25.34,2157,385.84,1825837,13395.7
216,360.08,17214,385.84,1843051,13521.6
217,12.12,1581,385.84,1844632,13533.4
218,298.76,14458,385.84,1859090,13639.3
219,318.34,15337,385.84,1874427,13752.1
220,154.98,8024,385.84,1882451,13811.1
221,44.56,3048,385.84,1885499,13833.0
222,44.14,3012,385.84,1888511,13855.6
223,16.14,1767,385.84,1890278,13867.8
224,29.12,2346,385.84,1892624,13885.8
225,261.42,12811,385.84,1905435,13979.5
226,263.84,12932,385.84,1918367,14074.0
227,74.40,4380,385.84,1922747,14106.0
228,8.92,1416,385.84,1924163,14116.7
229,107.77,5904,385.84,1930067,14160.1
230,223.28,11079,385.84,1941146,14241.0
231,271.14,13217,385.84,1954363,14338.3
232,156.56,8113,385.84,1962476,14397.8
233,308.40,14905,385.84,1977381,14506.7
234,346.92,16616,385.84,1993997,14628.4
