episode,return,length,best_return,total_steps,elapsed_sec
1,142.58,6799,142.58,6799,96.6
2,63.68,3479,142.58,10278,153.0
3,46.42,2841,142.58,13119,195.4
4,146.40,7075,146.40,20194,287.9
5,94.30,4711,146.40,24905,364.6
6,65.70,3580,146.40,28485,421.5
7,104.94,5132,146.40,33617,504.8
8,119.47,5715,146.40,39332,597.0
9,142.54,6872,146.40,46204,690.4
10,29.24,2112,146.40,48316,724.3
11,64.22,3501,146.40,51817,780.8
12,-0.96,907,146.40,52724,794.9
13,0.44,927,146.40,53651,810.6
14,56.28,3464,146.40,57115,845.0
15,81.72,4211,146.40,61326,912.6
16,62.44,3412,146.40,64738,968.0
17,136.77,6440,146.40,71178,1070.3
18,70.84,3752,146.40,74930,1131.0
19,44.60,2736,146.40,77666,1174.5
20,126.32,5981,146.40,83647,1270.2
21,87.16,4418,146.40,88065,1341.7
22,64.02,3496,146.40,91561,1396.8
23,72.34,3822,146.40,95383,1457.8
24,97.50,4855,146.40,100238,1535.9
25,146.22,6751,146.40,106989,1646.5
26,97.65,4863,146.40,111852,1724.2
27,41.44,2587,146.40,114439,1765.4
28,134.42,6321,146.40,120760,1866.2
29,29.20,2110,146.40,122870,1899.8
30,25.68,1944,146.40,124814,1930.8
31,127.82,6061,146.40,130875,2027.6
32,49.62,2932,146.40,133807,2074.9
33,112.56,5458,146.40,139265,2161.1
34,5.16,1153,146.40,140418,2179.0
35,66.46,3603,146.40,144021,2237.0
36,79.48,4114,146.40,148135,2303.0
37,44.48,2739,146.40,150874,2344.6
38,119.78,5744,146.40,156618,2437.4
39,4.70,1120,146.40,157738,2455.7
40,144.22,6726,146.40,164464,2563.3
41,3.28,1064,146.40,165528,2579.9
42,48.34,2852,146.40,168380,2626.2
43,131.68,6234,146.40,174614,2726.2
44,-2.80,830,146.40,175444,2739.2
45,112.47,5439,146.40,180883,2826.7
46,120.94,5787,146.40,186670,2919.7
47,122.26,5843,146.40,192513,3013.1
48,162.38,7474,162.38,199987,3131.5
49,89.98,4544,162.38,204531,3203.8
50,130.50,6190,162.38,210721,3302.6
51,139.54,6542,162.38,217263,3407.4
52,116.24,5622,162.38,222885,3496.1
53,126.88,6004,162.38,228889,3592.4
54,82.42,4251,162.38,233140,3660.4
55,52.38,3039,162.38,236179,3709.5
56,134.36,6338,162.38,242517,3810.6
57,61.04,3392,162.38,245909,3865.1
58,127.76,6054,162.38,251963,3961.4
59,51.94,3032,162.38,254995,4009.4
60,129.70,6160,162.38,261155,4108.2
61,123.54,5897,162.38,267052,4202.9
62,32.54,2227,162.38,269279,4238.7
63,162.42,7481,162.42,276760,4354.7
64,67.54,3647,162.42,280407,4412.3
65,209.97,9354,209.97,289761,4561.7
66,125.64,5957,209.97,295718,4657.1
67,63.34,3462,209.97,299180,4712.6
68,93.58,4724,209.97,303904,4787.5
69,155.20,7190,209.97,311094,4901.8
70,129.34,6132,209.97,317226,4999.6
71,123.34,5887,209.97,323113,5093.4
72,73.52,3886,209.97,326999,5155.3
73,159.98,7364,209.97,334363,5272.9
74,195.34,8772,209.97,343135,5412.3
75,128.34,6082,209.97,349217,5509.4
76,182.28,8219,209.97,357436,5640.3
77,128.12,6071,209.97,363507,5737.0
78,143.08,6664,209.97,370171,5843.1
79,120.06,5753,209.97,375924,5935.1
