episode,return,length,best_return,total_steps,elapsed_sec
1,218.80,10860,218.80,10860,81.0
2,17.22,1816,218.80,12676,94.7
3,252.58,12374,252.58,25050,187.0
4,47.42,2961,252.58,28011,223.9
5,138.61,6496,252.58,34507,327.6
6,119.69,5730,252.58,40237,419.6
7,38.40,2500,252.58,42737,459.4
8,106.60,5210,252.58,47947,543.3
9,112.86,5463,252.58,53410,631.1
10,126.16,5983,252.58,59393,726.7
11,76.62,4041,252.58,63434,790.3
12,82.62,4256,252.58,67690,859.3
13,68.48,3699,252.58,71389,917.8
14,99.40,4945,252.58,76334,997.2
15,73.62,3886,252.58,80220,1059.7
16,11.58,1384,252.58,81604,1081.3
17,166.76,7603,252.58,89207,1203.3
18,147.00,6845,252.58,96052,1312.9
19,190.48,8559,252.58,104611,1450.7
20,-0.84,918,252.58,105529,1465.0
21,126.34,5982,252.58,111511,1560.8
22,152.04,7042,252.58,118553,1673.4
23,151.20,7005,252.58,125558,1786.8
24,157.86,7243,252.58,132801,1902.4
25,148.08,6839,252.58,139640,2012.7
26,216.48,9604,252.58,149244,2166.5
27,166.62,7606,252.58,156850,2289.3
28,144.06,6723,252.58,163573,2397.0
29,196.82,8796,252.58,172369,2539.4
30,130.34,6172,252.58,178541,2638.2
31,69.13,3732,252.58,182273,2698.0
32,204.58,9109,252.58,191382,2843.8
33,200.70,8975,252.58,200357,2987.9
34,226.08,9989,252.58,210346,3147.5
35,140.46,6583,252.58,216929,3252.4
36,196.46,8778,252.58,225707,3394.3
37,181.40,8200,252.58,233907,3525.5
38,127.92,6061,252.58,239968,3622.5
39,193.14,8682,252.58,248650,3761.2
40,-3.76,787,252.58,249437,3773.4
41,139.66,6563,252.58,256000,3878.2
42,-1.26,892,252.58,256892,3893.0
43,130.66,6188,252.58,263080,3991.7
44,146.78,6834,252.58,269914,4100.3
45,155.24,7162,252.58,277076,4214.9
46,143.34,6682,252.58,283758,4321.5
47,133.98,6289,252.58,290047,4421.9
48,108.67,5309,252.58,295356,4506.9
49,92.86,4678,252.58,300034,4581.4
50,-5.76,687,252.58,300721,4592.2
51,52.88,3059,252.58,303780,4641.5
52,44.46,2713,252.58,306493,4684.5
53,-3.15,803,252.58,307296,4698.0
54,-3.96,777,252.58,308073,4710.1
55,103.34,5077,252.58,313150,4791.1
56,-5.26,717,252.58,313867,4803.2
57,175.56,7968,252.58,321835,4930.8
58,66.80,3610,252.58,325445,4987.9
59,-7.43,619,252.58,326064,4998.4
60,105.83,5197,252.58,331261,5080.9
61,143.10,6660,252.58,337921,5188.1
62,155.26,7178,252.58,345099,5302.5
63,137.56,6458,252.58,351557,5405.8
64,128.54,6077,252.58,357634,5503.0
65,4.60,1110,252.58,358744,5521.3
66,159.24,7312,252.58,366056,5638.0
67,78.77,4074,252.58,370130,5703.4
68,130.18,6164,252.58,376294,5802.4
69,117.96,5643,252.58,381937,5893.5
70,150.60,6970,252.58,388907,6005.3
71,126.58,5999,252.58,394906,6101.7
72,196.92,8796,252.58,403702,6243.6
73,164.20,7535,252.58,411237,6362.2
74,98.40,4900,252.58,416137,6440.1
75,144.18,6714,252.58,422851,6547.6
76,119.56,5718,252.58,428569,6639.8
77,127.48,6044,252.58,434613,6736.9
78,168.60,7690,252.58,442303,6859.1
79,123.70,5920,252.58,448223,6953.8
80,149.63,6902,252.58,455125,7065.1
81,161.90,7440,252.58,462565,7182.8
82,67.10,3630,252.58,466195,7241.2
83,143.74,6702,252.58,472897,7348.3
84,166.04,7582,252.58,480479,7470.3
85,98.76,4898,252.58,485377,7549.5
86,94.92,4736,252.58,490113,7625.4
87,149.12,6896,252.58,497009,7736.0
88,134.48,6329,252.58,503338,7837.4
89,176.36,8018,252.58,511356,7966.1
90,123.08,5879,252.58,517235,8060.6
91,196.26,8768,252.58,526003,8200.8
92,54.90,3120,252.58,529123,8251.6
93,134.56,6328,252.58,535451,8353.1
94,-1.36,892,252.58,536343,8367.1
95,0.38,934,252.58,537277,8382.7
96,121.24,5792,252.58,543069,8475.9
97,121.04,5782,252.58,548851,8568.4
98,140.66,6538,252.58,555389,8674.3
99,150.70,6980,252.58,562369,8786.6
100,0.60,930,252.58,563299,8802.1
101,102.70,5030,252.58,568329,8882.6
102,147.36,6863,252.58,575192,8992.5
103,130.82,6196,252.58,581388,9092.4
104,121.18,5794,252.58,587182,9185.0
105,111.06,5353,252.58,592535,9271.6
106,-0.84,918,252.58,593453,9285.9
107,60.16,3358,252.58,596811,9339.8
108,-3.28,796,252.58,597607,9352.2
109,45.48,2774,252.58,600381,9397.1
110,207.08,9219,252.58,609600,9543.4
111,47.96,2838,252.58,612438,9589.0
112,64.88,3529,252.58,615967,9644.5
113,163.56,7513,252.58,623480,9764.4
114,133.72,6296,252.58,629776,9864.6
115,120.70,5780,252.58,635556,9957.1
116,170.72,7781,252.58,643337,10081.0
117,113.26,5483,252.58,648820,10167.9
118,10.76,1353,252.58,650173,10189.8
119,159.72,7326,252.58,657499,10306.7
120,83.26,4298,252.58,661797,10375.5
121,163.36,7513,252.58,669310,10494.7
122,145.08,6744,252.58,676054,10602.8
123,127.94,6062,252.58,682116,10699.7
124,130.64,6182,252.58,688298,10798.5
125,141.44,6612,252.58,694910,10904.1
126,96.28,4799,252.58,699709,10980.7
127,56.44,3197,252.58,702906,11032.6
128,37.48,2459,252.58,705365,11071.9
129,11.18,1384,252.58,706749,11094.4
130,145.56,6768,252.58,713517,11202.3
131,183.46,8283,252.58,721800,11334.7
132,183.70,8285,252.58,730085,11466.7
133,183.32,8286,252.58,738371,11599.3
134,76.18,4009,252.58,742380,11663.3
135,145.20,6755,252.58,749135,11770.6
136,107.12,5231,252.58,754366,11854.7
137,207.90,9835,252.58,764201,11965.1
138,45.20,3080,252.58,767281,11987.6
139,362.60,17325,362.60,784606,12114.5
140,406.56,19283,406.56,803889,12254.8
141,501.30,23525,501.30,827414,12426.8
142,373.22,17836,501.30,845250,12556.4
143,542.34,25347,542.34,870597,12742.0
144,294.04,14277,542.34,884874,12846.2
145,269.60,13155,542.34,898029,12942.1
146,295.56,14348,542.34,912377,13046.7
147,401.86,19113,542.34,931490,13185.6
148,341.42,16406,542.34,947896,13305.1
149,32.04,2487,542.34,950383,13323.9
150,25.22,2166,542.34,952549,13339.7
151,346.64,16617,542.34,969166,13460.6
152,44.06,3018,542.34,972184,13482.3
153,388.88,18544,542.34,990728,13617.2
154,428.26,20293,542.34,1011021,13764.9
155,363.62,17381,542.34,1028402,13892.0
156,19.74,1942,542.34,1030344,13906.3
157,475.88,22419,542.34,1052763,14069.6
158,464.98,21944,542.34,1074707,14228.7
159,341.04,16392,542.34,1091099,14348.2
160,306.48,14824,542.34,1105923,14456.7
161,410.14,19467,542.34,1125390,14598.1
162,362.06,17293,542.34,1142683,14723.6
163,125.12,6691,542.34,1149374,14772.9
164,309.78,14979,542.34,1164353,14881.7
165,203.02,10216,542.34,1174569,14956.1
166,333.84,16042,542.34,1190611,15073.0
167,431.72,20436,542.34,1211047,15221.9
168,578.20,26970,578.20,1238017,15418.1
169,113.44,6177,578.20,1244194,15463.1
170,361.60,17280,578.20,1261474,15588.6
171,298.62,14431,578.20,1275905,15694.4
172,378.42,18041,578.20,1293946,15825.1
173,278.62,13591,578.20,1307537,15924.3
174,381.08,18164,578.20,1325701,16056.7
175,280.74,13692,578.20,1339393,16156.7
176,277.60,13535,578.20,1352928,16254.7
177,436.86,20648,578.20,1373576,16405.0
178,299.49,14491,578.20,1388067,16510.4
179,318.71,15376,578.20,1403443,16622.7
180,277.87,13560,578.20,1417003,16720.9
181,422.08,19985,578.20,1436988,16866.6
182,348.83,16712,578.20,1453700,16988.3
183,535.16,25054,578.20,1478754,17171.1
184,365.72,17486,578.20,1496240,17298.0
185,341.62,16426,578.20,1512666,17417.5
186,298.90,14475,578.20,1527141,17522.8
187,284.78,13839,578.20,1540980,17623.9
188,287.72,13976,578.20,1554956,17725.8
189,439.08,20759,578.20,1575715,17876.7
190,267.12,13086,578.20,1588801,17971.7
191,104.90,5760,578.20,1594561,18013.8
192,429.66,20348,578.20,1614909,18162.0
193,460.74,21717,578.20,1636626,18320.4
194,304.86,14753,578.20,1651379,18427.7
195,325.88,15694,578.20,1667073,18542.2
196,406.88,19294,578.20,1686367,18682.4
197,391.84,18642,578.20,1705009,18817.9
198,472.48,22264,578.20,1727273,18980.2
199,364.55,17413,578.20,1744686,19106.5
200,292.28,14199,578.20,1758885,19210.0
